站點名稱,緯度,經度,圖片,站點位置
"北新竹火車站(新竹高工)","24.80963","120.98351","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/d01089db-9367-41a1-a9c6-4d38e3ab125a.jpg","中華路二段2-1號前人行道"
"明志書院立體停車場","24.80167","120.96576","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/d1eed034-e654-4769-b8d5-41816698a8dd.jpg","西大路317號(停車場前人行道)"
"十八尖山(新竹高商)","24.79703","120.98755","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/7afd88ee-f5cf-43a7-a41f-029e1d763700.jpg","博愛街5巷2號對面停車場"
"清華大學(小吃部)","24.79307","120.99335","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/3a6af678-376f-4e06-96c1-51bb0309414f.jpg","光復路二段101號(小吃部左側廣場)"
"陽明交通大學(大學路)","24.7894","121.00026","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/220dace9-a5e8-4d0c-894f-df0e0348e498.jpg","大學路200號(對面人行道)"
"陽明交通大學(逐風廣場)","24.78473","120.99994","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/bd921708-39b2-4f7c-bd4d-da7f1d803b34.jpg","大學路1001號(女二宿前廣場)"
"新竹轉運站","24.8009","120.97319","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/57555c6f-b8b4-458e-844c-3d52686954d8.jpg","東南街1巷6號(轉運站對面人行廣場)"
"清華大學(北校門)","24.79684","120.99669","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/6e10e2dd-d36e-4fdc-a1a5-38166438ae04.jpg","光復路二段101號(面校門右側人行道)"
"新竹馬偕紀念醫院","24.80007","120.99128","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/c6c00732-6114-4a8b-9577-36b8114b4af1.jpg","光復路二段690號(水源街對面公園人行道)"
"經國民生路口","24.81388","120.97399","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/77af0532-191f-4d1f-bfd7-d850202f3491.jpg","民生路309號旁公園綠帶"
"建國公園(城隍廟)","24.80338","120.96668","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/d1d28818-4514-42ea-9b7c-b634caa72b65.jpg","西門街1號(對面汽車停車格)"
"新竹三民公園","24.81123","120.97962","https://odws.hccg.gov.tw/001/Upload/25/relpic/9059/59/98e86f7e-3004-4767-bb14-df2bb463f14d.jpg","中央路364-1號(網球場前人行道)"
